Starting training:
  Algorithm       : ppo
  Environments    : 4
  Reward mode     : temperature
  Observation     : T04
  Seed            : 42
  Timesteps       : 1000000

=== System Info ===
Hostname              : haicn1702.localdomain
CUDA_VISIBLE_DEVICES : MIG-3ec3a575-8900-5a2d-8b50-60ffc9a8e0d2

=== GPU Info (nvidia-smi) ===
Sun Jun  8 03:53:36 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.133.20             Driver Version: 570.133.20     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:31:00.0 Off |                   On |
| N/A   43C    P0             45W /  400W |     249MiB /  40960MiB |     N/A      Default |
|                                         |                        |              Enabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| MIG devices:                                                                            |
+------------------+----------------------------------+-----------+-----------------------+
| GPU  GI  CI  MIG |                     Memory-Usage |        Vol|        Shared         |
|      ID  ID  Dev |                       BAR1-Usage | SM     Unc| CE ENC  DEC  OFA  JPG |
|                  |                                  |        ECC|                       |
|==================+==================================+===========+=======================|
|  0    1   0   0  |             142MiB / 20096MiB    | 56      0 |  4   0    2    0    0 |
|                  |                 0MiB / 32767MiB  |           |                       |
+------------------+----------------------------------+-----------+-----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+

=== PyTorch CUDA Info ===
CUDA available        : True
Device name (ID 0)    : NVIDIA A100-SXM4-40GB MIG 4g.20gb
CUDA version (torch)  : 12.4
CUDNN version         : 90501
Using cuda device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 288      |
|    ep_rew_mean     | 21       |
| time/              |          |
|    fps             | 962      |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 1152     |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 288        |
|    ep_rew_mean          | 29.3       |
| time/                   |            |
|    fps                  | 730        |
|    iterations           | 2          |
|    time_elapsed         | 3          |
|    total_timesteps      | 2304       |
| train/                  |            |
|    approx_kl            | 0.00929313 |
|    clip_fraction        | 0.129      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.41      |
|    explained_variance   | 0.279      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.801      |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.0159    |
|    std                  | 0.976      |
|    value_loss           | 2.58       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 47.7        |
| time/                   |             |
|    fps                  | 694         |
|    iterations           | 3           |
|    time_elapsed         | 4           |
|    total_timesteps      | 3456        |
| train/                  |             |
|    approx_kl            | 0.011094939 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 0.489       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.73        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0185     |
|    std                  | 0.97        |
|    value_loss           | 4.89        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 57          |
| time/                   |             |
|    fps                  | 678         |
|    iterations           | 4           |
|    time_elapsed         | 6           |
|    total_timesteps      | 4608        |
| train/                  |             |
|    approx_kl            | 0.010741921 |
|    clip_fraction        | 0.0917      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.38       |
|    explained_variance   | 0.375       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.92        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0138     |
|    std                  | 0.959       |
|    value_loss           | 10.1        |
