Starting training:
  Algorithm       : ppo
  Environments    : 4
  Reward mode     : combined
  Observation     : C03
  Seed            : 42
  Timesteps       : 1000000

=== System Info ===
Hostname              : haicn1701.localdomain
CUDA_VISIBLE_DEVICES : MIG-0df3d462-ff11-590c-9da2-755e443d81a7

=== GPU Info (nvidia-smi) ===
Sun Jun  8 04:22:35 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.133.20             Driver Version: 570.133.20     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:CA:00.0 Off |                   On |
| N/A   41C    P0             46W /  400W |     249MiB /  40960MiB |     N/A      Default |
|                                         |                        |              Enabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| MIG devices:                                                                            |
+------------------+----------------------------------+-----------+-----------------------+
| GPU  GI  CI  MIG |                     Memory-Usage |        Vol|        Shared         |
|      ID  ID  Dev |                       BAR1-Usage | SM     Unc| CE ENC  DEC  OFA  JPG |
|                  |                                  |        ECC|                       |
|==================+==================================+===========+=======================|
|  0    2   0   0  |             142MiB / 20096MiB    | 56      0 |  4   0    2    0    0 |
|                  |                 0MiB / 32767MiB  |           |                       |
+------------------+----------------------------------+-----------+-----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+

=== PyTorch CUDA Info ===
CUDA available        : True
Device name (ID 0)    : NVIDIA A100-SXM4-40GB MIG 4g.20gb
CUDA version (torch)  : 12.4
CUDNN version         : 90501
Using cuda device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 288      |
|    ep_rew_mean     | -39.2    |
| time/              |          |
|    fps             | 68       |
|    iterations      | 1        |
|    time_elapsed    | 16       |
|    total_timesteps | 1152     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | -30.8        |
| time/                   |              |
|    fps                  | 67           |
|    iterations           | 2            |
|    time_elapsed         | 34           |
|    total_timesteps      | 2304         |
| train/                  |              |
|    approx_kl            | 0.0063520214 |
|    clip_fraction        | 0.0741       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.022        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.924        |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00958     |
|    std                  | 0.976        |
|    value_loss           | 2.54         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | -14.4       |
| time/                   |             |
|    fps                  | 67          |
|    iterations           | 3           |
|    time_elapsed         | 51          |
|    total_timesteps      | 3456        |
| train/                  |             |
|    approx_kl            | 0.014743903 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 0.4         |
|    learning_rate        | 0.0003      |
|    loss                 | 0.893       |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0199     |
|    std                  | 0.97        |
|    value_loss           | 3.39        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | -4.94       |
| time/                   |             |
|    fps                  | 66          |
|    iterations           | 4           |
|    time_elapsed         | 68          |
|    total_timesteps      | 4608        |
| train/                  |             |
|    approx_kl            | 0.013826169 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.37       |
|    explained_variance   | 0.532       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.2         |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0196     |
|    std                  | 0.942       |
|    value_loss           | 3.07        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 288        |
|    ep_rew_mean          | 5.79       |
| time/                   |            |
|    fps                  | 66         |
|    iterations           | 5          |
|    time_elapsed         | 86         |
|    total_timesteps      | 5760       |
| train/                  |            |
|    approx_kl            | 0.01249913 |
|    clip_fraction        | 0.169      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.35      |
|    explained_variance   | 0.606      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.08       |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.0196    |
|    std                  | 0.93       |
|    value_loss           | 3.77       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 16.3         |
| time/                   |              |
|    fps                  | 66           |
|    iterations           | 6            |
|    time_elapsed         | 103          |
|    total_timesteps      | 6912         |
| train/                  |              |
|    approx_kl            | 0.0082244165 |
|    clip_fraction        | 0.108        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.488        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.845        |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.0112      |
|    std                  | 0.89         |
|    value_loss           | 2.54         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 24.3        |
| time/                   |             |
|    fps                  | 66          |
|    iterations           | 7           |
|    time_elapsed         | 120         |
|    total_timesteps      | 8064        |
| train/                  |             |
|    approx_kl            | 0.009861791 |
|    clip_fraction        | 0.1         |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.28       |
|    explained_variance   | 0.349       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.32        |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00828    |
|    std                  | 0.859       |
